Starting Training Pipeline...
Using device: mps
Epoch 01/100 | Train Error: ~12.19 km/h | Val Error: ~14.29 km/h
Epoch 02/100 | Train Error: ~9.84 km/h | Val Error: ~11.26 km/h
Epoch 03/100 | Train Error: ~9.45 km/h | Val Error: ~11.43 km/h
Epoch 04/100 | Train Error: ~9.06 km/h | Val Error: ~12.04 km/h
Epoch 05/100 | Train Error: ~8.85 km/h | Val Error: ~10.95 km/h
Epoch 06/100 | Train Error: ~8.67 km/h | Val Error: ~12.50 km/h
Epoch 07/100 | Train Error: ~8.52 km/h | Val Error: ~11.69 km/h
Epoch 08/100 | Train Error: ~8.42 km/h | Val Error: ~11.35 km/h
Epoch 09/100 | Train Error: ~8.34 km/h | Val Error: ~11.02 km/h
Epoch 10/100 | Train Error: ~8.28 km/h | Val Error: ~10.97 km/h
Epoch 11/100 | Train Error: ~8.54 km/h | Val Error: ~12.31 km/h
Epoch 12/100 | Train Error: ~8.46 km/h | Val Error: ~11.64 km/h
Epoch 13/100 | Train Error: ~8.38 km/h | Val Error: ~11.53 km/h
Epoch 14/100 | Train Error: ~8.27 km/h | Val Error: ~11.85 km/h
Epoch 15/100 | Train Error: ~8.18 km/h | Val Error: ~11.61 km/h
Epoch 16/100 | Train Error: ~8.14 km/h | Val Error: ~12.35 km/h
Epoch 17/100 | Train Error: ~8.02 km/h | Val Error: ~11.88 km/h
Epoch 18/100 | Train Error: ~7.93 km/h | Val Error: ~10.68 km/h
Epoch 19/100 | Train Error: ~7.79 km/h | Val Error: ~11.73 km/h
Epoch 20/100 | Train Error: ~7.68 km/h | Val Error: ~13.75 km/h
Epoch 21/100 | Train Error: ~7.59 km/h | Val Error: ~11.80 km/h
Epoch 22/100 | Train Error: ~7.46 km/h | Val Error: ~10.83 km/h
Epoch 23/100 | Train Error: ~7.34 km/h | Val Error: ~10.68 km/h
Epoch 24/100 | Train Error: ~7.24 km/h | Val Error: ~10.86 km/h
Epoch 25/100 | Train Error: ~7.14 km/h | Val Error: ~11.01 km/h
Epoch 26/100 | Train Error: ~7.04 km/h | Val Error: ~11.27 km/h
Epoch 27/100 | Train Error: ~6.97 km/h | Val Error: ~11.40 km/h
Epoch 28/100 | Train Error: ~6.91 km/h | Val Error: ~11.07 km/h
Epoch 29/100 | Train Error: ~6.86 km/h | Val Error: ~10.90 km/h
Epoch 30/100 | Train Error: ~6.84 km/h | Val Error: ~10.95 km/h
Epoch 31/100 | Train Error: ~7.45 km/h | Val Error: ~11.74 km/h
Epoch 32/100 | Train Error: ~7.46 km/h | Val Error: ~11.37 km/h
Epoch 33/100 | Train Error: ~7.37 km/h | Val Error: ~10.76 km/h
Epoch 34/100 | Train Error: ~7.31 km/h | Val Error: ~13.82 km/h
Epoch 35/100 | Train Error: ~7.22 km/h | Val Error: ~16.32 km/h
Epoch 36/100 | Train Error: ~7.15 km/h | Val Error: ~10.50 km/h
Epoch 37/100 | Train Error: ~7.07 km/h | Val Error: ~13.04 km/h
Epoch 38/100 | Train Error: ~7.06 km/h | Val Error: ~11.55 km/h
Epoch 39/100 | Train Error: ~6.92 km/h | Val Error: ~13.37 km/h
Epoch 40/100 | Train Error: ~6.86 km/h | Val Error: ~10.98 km/h
Epoch 41/100 | Train Error: ~6.79 km/h | Val Error: ~10.82 km/h
Epoch 42/100 | Train Error: ~6.70 km/h | Val Error: ~11.31 km/h
Epoch 43/100 | Train Error: ~6.62 km/h | Val Error: ~13.15 km/h
Epoch 44/100 | Train Error: ~6.53 km/h | Val Error: ~11.24 km/h
Epoch 45/100 | Train Error: ~6.44 km/h | Val Error: ~11.08 km/h
Epoch 46/100 | Train Error: ~6.37 km/h | Val Error: ~12.19 km/h
Epoch 47/100 | Train Error: ~6.26 km/h | Val Error: ~12.08 km/h
Epoch 48/100 | Train Error: ~6.18 km/h | Val Error: ~11.73 km/h
Epoch 49/100 | Train Error: ~6.10 km/h | Val Error: ~12.11 km/h
Epoch 50/100 | Train Error: ~6.01 km/h | Val Error: ~11.63 km/h
Epoch 51/100 | Train Error: ~5.90 km/h | Val Error: ~11.44 km/h
Early stopping triggered! No improvement for 15 epochs.
Done in 2.5 mins. Saved models/resnet_bilstm_latest.pth
